,frame_number,track_id,car_bbox,lp_bbox,lp_text,lp_conf
0,9,1,"(248, 231, 526, 477)","(340, 412, 375, 436)",8254,0.9998772144317628
1,12,1,"(248, 231, 526, 477)","(340, 413, 374, 435)",8254,0.692804734387268
2,14,1,"(248, 232, 526, 477)","(341, 413, 375, 436)",8254,0.5756275258646447
3,15,1,"(248, 232, 526, 477)","(341, 413, 375, 435)",8254,0.0
4,17,1,"(248, 231, 526, 477)","(341, 413, 375, 435)",8254,0.9999906420707704
5,26,1,"(249, 231, 526, 476)","(338, 412, 376, 437)",8254,0.6020136145967332
6,27,1,"(249, 231, 526, 476)","(338, 412, 376, 437)",8254,0.6020136145967332
7,28,1,"(249, 231, 526, 476)","(338, 412, 376, 437)",8254,0.8453504919754664
8,29,1,"(249, 232, 525, 477)","(332, 413, 375, 438)",8254,0.5677402589571815
9,30,1,"(249, 232, 526, 476)","(337, 412, 376, 438)",8254,0.0
10,31,1,"(249, 232, 525, 477)","(331, 412, 376, 438)",8254,0.9748955368995668
11,32,1,"(249, 232, 525, 476)","(337, 412, 375, 437)",8254,0.678365300887045
12,33,1,"(249, 231, 526, 476)","(339, 412, 376, 437)",8254,0.9730746746063232
13,34,1,"(249, 231, 525, 476)","(336, 412, 375, 436)",8254,0.0
14,35,1,"(249, 231, 525, 476)","(336, 412, 375, 436)",8254,0.0
15,36,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",8254,0.659234873126655
16,37,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",8254,0.659234873126655
17,38,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",8254,0.659234873126655
18,39,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",8254,0.659234873126655
19,40,1,"(249, 231, 525, 477)","(336, 412, 375, 437)",8254,0.6374193287482923
20,41,1,"(249, 231, 526, 477)","(338, 412, 375, 437)",8254,0.7509393501295956
21,42,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",'82545,0.5976287128347237
22,43,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",'82545,0.5976287128347237
23,44,1,"(249, 231, 525, 477)","(337, 412, 375, 437)",'82545,0.5976287128347237
24,46,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",'82545,0.6060763540983652
25,51,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
26,52,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
27,53,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
28,54,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",'82545,0.999915361404419
29,55,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",'82545,0.999915361404419
30,56,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",'82545,0.5726755182788151
31,57,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.5726755182788151
32,60,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.6060763540983652
33,61,1,"(249, 231, 525, 477)","(337, 412, 376, 436)",8254,0.5177979418780507
34,62,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.6060763540983652
35,63,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.6060763540983652
36,64,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.6060763540983652
37,65,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.6060763540983652
38,66,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.9979814291000366
39,67,1,"(249, 231, 526, 477)","(338, 413, 376, 437)",8254,0.6060763540983652
40,68,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.9979814291000366
41,69,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.9979814291000366
42,70,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
43,71,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.9979814291000366
44,72,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
45,73,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
46,74,1,"(249, 231, 526, 477)","(339, 412, 376, 437)",8254,0.999449908733368
47,75,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
48,76,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
49,77,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
50,78,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
51,79,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
52,80,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
53,83,1,"(249, 231, 525, 477)","(337, 412, 376, 436)",8254,0.5177979418780507
54,84,1,"(249, 231, 526, 477)","(339, 413, 376, 437)",8254,0.999915361404419
55,97,3,,,R6L,0.7845109637469335
56,109,3,,,R,0.6716455575258671
57,122,3,,,RETL,0.606931209564209
58,126,1,"(248, 232, 526, 478)","(322, 413, 375, 441)",8254,0.5276389296818965
59,127,1,"(248, 232, 526, 478)","(322, 412, 375, 440)",8254,0.5379291792977041
60,128,1,"(248, 232, 526, 478)","(322, 413, 375, 440)",8254,0.0
61,129,1,"(249, 231, 525, 476)","(324, 413, 380, 438)",8254,0.6693798827688506
62,131,1,"(249, 231, 525, 476)","(324, 413, 380, 438)",8254,0.8034132823957795
63,133,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
64,134,1,"(249, 231, 525, 476)","(326, 413, 379, 437)",8254,0.0
65,136,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
66,137,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
67,138,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
68,139,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
69,140,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
70,141,1,"(249, 231, 525, 476)","(326, 413, 378, 437)",8254,0.0
71,143,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
72,144,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
73,145,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
74,146,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
75,147,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
76,148,1,"(248, 231, 525, 476)","(325, 413, 377, 438)",8254,0.0
77,149,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
78,150,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
79,151,1,"(249, 231, 525, 476)","(324, 413, 379, 437)",8254,0.0
80,152,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
81,153,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
82,154,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
83,154,3,,,RGO6L,0.6177726556950104
84,155,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
85,156,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
86,157,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
87,158,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
88,159,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.0
89,160,1,"(249, 231, 525, 476)","(324, 413, 380, 437)",8254,0.6145335550889435
90,160,3,,,R606L,0.5672396947094002
91,163,3,,,R6o6L,0.7125789257096525
92,166,1,"(249, 231, 526, 477)","(329, 413, 379, 437)",8254,0.827802074193585
93,168,3,"(836, 119, 1072, 394)","(903, 345, 960, 365)",RGO6LI,0.6000145572813526
94,169,1,"(250, 231, 526, 477)","(329, 413, 381, 437)",8254,0.7131304293151032
95,169,3,"(832, 122, 1069, 399)","(899, 349, 956, 369)",RGO6LI,0.5491162828502013
96,170,1,"(250, 231, 526, 477)","(329, 413, 381, 436)",8254,0.5026314092018122
97,170,3,"(829, 125, 1067, 404)","(896, 354, 953, 374)",RGO6LI,0.0
98,171,1,"(250, 231, 526, 477)","(329, 413, 381, 436)",8254,0.5026314092018122
99,171,3,"(823, 128, 1063, 408)","(890, 358, 948, 379)",RGO6LI,0.0
100,172,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",8254,0.9761835260158058
101,172,3,"(820, 132, 1060, 413)","(885, 363, 944, 384)",RGO6LI,0.0
102,173,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",8254,0.9761835260158058
103,173,3,"(814, 136, 1057, 422)","(881, 368, 940, 389)",RGO6LI,0.0
104,174,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",8254,0.9761835260158058
105,174,3,"(810, 139, 1056, 427)","(878, 370, 937, 392)",RGO6LI,0.0
106,175,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",8254,0.9761835260158058
107,175,3,"(805, 144, 1052, 431)","(872, 379, 931, 400)",RGO6LI,0.0
108,176,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",8254,0.9761835260158058
109,176,3,"(799, 146, 1050, 434)","(867, 383, 926, 405)",RGO6LI,0.0
110,177,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
111,177,3,"(795, 148, 1047, 440)","(862, 388, 922, 410)",RGO6LI,0.0
112,178,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
113,178,3,"(789, 151, 1044, 445)","(857, 393, 917, 415)",RGO6LI,0.0
114,179,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
115,179,3,"(785, 153, 1041, 453)","(852, 400, 912, 421)",RGO6LI,0.5595947315261355
116,180,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
117,180,3,"(780, 154, 1038, 458)","(846, 404, 907, 426)",RGO6LI,0.0
118,181,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
119,181,3,"(772, 150, 1039, 463)","(841, 410, 902, 432)",RGO6LI,0.0
120,182,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
121,182,3,"(766, 152, 1036, 468)","(835, 416, 897, 438)",RGO6LI,0.0
122,183,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
123,183,3,"(761, 152, 1035, 474)","(829, 421, 891, 445)",RGO6LI,0.0
124,184,1,"(249, 231, 526, 477)","(329, 413, 380, 437)",A 8254S,0.5657491169262593
125,184,3,"(757, 157, 1033, 482)","(823, 428, 885, 450)",RGO6LI,0.0
126,185,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
127,185,3,"(746, 168, 1022, 487)","(817, 434, 880, 456)",RGO6LI,0.0
128,186,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
129,186,3,"(742, 171, 1023, 492)","(811, 439, 873, 462)",RGO6LI,0.0
130,187,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
131,187,3,"(736, 185, 1009, 498)","(805, 445, 868, 468)",RGO6LI,0.0
132,188,1,"(249, 231, 526, 477)","(329, 413, 380, 437)",A 8254S,0.5657491169262593
133,188,3,"(728, 195, 1001, 506)","(798, 451, 861, 474)",RGO6LI,0.0
134,189,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
135,189,3,"(719, 199, 997, 513)","(791, 457, 854, 480)",RGO6LI,0.0
136,190,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
137,190,3,"(711, 202, 994, 520)","(784, 464, 848, 488)",RGO6LI,0.0
138,191,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
139,191,3,"(706, 206, 988, 526)","(777, 470, 841, 494)",RGO6LI,0.0
140,192,1,"(249, 231, 526, 477)","(330, 413, 380, 437)",A 8254S,0.9761835260158058
141,192,3,"(699, 213, 984, 534)","(770, 477, 835, 501)",RGO6LI,0.0
142,193,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
143,193,3,"(689, 217, 980, 540)","(762, 483, 827, 508)",RGO6LI,0.0
144,194,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
145,194,3,"(649, 221, 975, 548)","(755, 490, 820, 515)",RGO6LI,0.0
146,195,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
147,195,3,"(653, 224, 967, 553)","(747, 497, 813, 522)",RGO6LI,0.0
148,196,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
149,196,3,"(656, 229, 961, 563)","(739, 503, 805, 529)",RGO6LI,0.0
150,197,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
151,197,3,"(646, 235, 955, 569)","(731, 511, 797, 536)",RGO6LI,0.0
152,198,1,"(249, 231, 526, 477)","(330, 413, 379, 437)",A 8254S,0.9761835260158058
153,198,3,"(643, 239, 950, 578)","(723, 519, 790, 544)",RGO6LI,0.0
154,199,1,"(249, 231, 526, 477)","(329, 413, 379, 437)",A 8254S,0.827802074193585
155,199,3,"(638, 247, 944, 585)","(713, 523, 784, 559)",RGO6LI,0.0
156,200,3,"(631, 252, 936, 594)","(705, 533, 773, 559)",RGO6LI,0.0
